,president1,date1,president2,date2,sim
260,Gerald Ford,1975,James Monroe,1821,0.506109484927
261,Gerald Ford,1975,Lyndon B. Johnson,1966,0.774410933955
262,Gerald Ford,1975,Theodore Roosevelt,1905,0.722923637842
263,Gerald Ford,1975,John Quincy Adams,1827,0.54378967755
264,Gerald Ford,1975,Woodrow Wilson,1917,0.656351745894
265,Gerald Ford,1975,George Bush,1991,0.743264657808
266,Gerald Ford,1975,Warren G. Harding,1922,0.46530994897
267,Gerald Ford,1975,John Adams,1799,0.576173740445
268,Gerald Ford,1975,John Tyler,1843,0.538495624515
269,Gerald Ford,1975,William McKinley,1899,0.615234047004
270,Gerald Ford,1975,Harry S Truman,1949,0.725902894656
271,Gerald Ford,1975,Dwight D. Eisenhower,1957,0.707003205043
272,Gerald Ford,1975,John F. Kennedy,1962,0.760256633287
273,Gerald Ford,1975,Calvin Coolidge,1926,0.631292478698
274,Gerald Ford,1975,Zachary Taylor,1849,0.485240795192
275,Gerald Ford,1975,Grover Cleveland,1887,0.557031572155
276,Gerald Ford,1975,Jimmy Carter,1979,0.738103146094
277,Gerald Ford,1975,Andrew Johnson,1867,0.758097254963
278,Gerald Ford,1975,George W. Bush,2005,0.662154383122
279,Gerald Ford,1975,Benjamin Harrison,1891,0.508172895661
280,Gerald Ford,1975,Martin Van Buren,1839,0.509650747828
281,Gerald Ford,1975,James A. Garfield,1881,0.481288601785
282,Gerald Ford,1975,Abraham Lincoln,1863,0.526455584579
283,Gerald Ford,1975,George Washington,1793,0.544302342825
284,Gerald Ford,1975,Chester Arthur,1883,0.551977482725
285,Gerald Ford,1975,Thomas Jefferson,1805,0.517692805021
286,Gerald Ford,1975,Ronald Reagan,1985,0.773807665293
287,Franklin D. Roosevelt,1939,Franklin Pierce,1855,0.561210503895
288,Franklin D. Roosevelt,1939,Bill Clinton,1997,0.604607710824
289,Franklin D. Roosevelt,1939,Herbert Hoover,1931,0.719751187828
290,Franklin D. Roosevelt,1939,William Howard Taft,1911,0.565299455569
291,Franklin D. Roosevelt,1939,Andrew Jackson,1833,0.550140598973
292,Franklin D. Roosevelt,1939,Millard Fillmore,1851,0.399478871682
293,Franklin D. Roosevelt,1939,Gerald Ford,1975,0.714697571131
294,Franklin D. Roosevelt,1939,James K. Polk,1847,0.550370560463
295,Franklin D. Roosevelt,1939,Richard Nixon,1971,0.698586418793
296,Franklin D. Roosevelt,1939,Barack Obama,2012,0.623890616923
297,Franklin D. Roosevelt,1939,James Madison,1813,0.640015514429
298,Franklin D. Roosevelt,1939,James Buchanan,1859,0.563903547048
299,Franklin D. Roosevelt,1939,Ulysses S. Grant,1873,0.591626643573
300,Franklin D. Roosevelt,1939,Rutherford B. Hayes,1879,0.568987467571
301,Franklin D. Roosevelt,1939,James Monroe,1821,0.552346974196
302,Franklin D. Roosevelt,1939,Lyndon B. Johnson,1966,0.670208755359
303,Franklin D. Roosevelt,1939,Theodore Roosevelt,1905,0.927468093943
304,Franklin D. Roosevelt,1939,John Quincy Adams,1827,0.546680068357
305,Franklin D. Roosevelt,1939,Woodrow Wilson,1917,0.782635710043
306,Franklin D. Roosevelt,1939,George Bush,1991,0.651406829294
307,Franklin D. Roosevelt,1939,Warren G. Harding,1922,0.852567061154
308,Franklin D. Roosevelt,1939,John Adams,1799,0.580846919748
309,Franklin D. Roosevelt,1939,John Tyler,1843,0.570066451342
310,Franklin D. Roosevelt,1939,William McKinley,1899,0.666190314935
311,Franklin D. Roosevelt,1939,Harry S Truman,1949,0.767459741267
312,Franklin D. Roosevelt,1939,Dwight D. Eisenhower,1957,0.689849100685
